Category: News

Day,Coronavirus: (United States)
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,<1
2020-01-10,0
2020-01-11,<1
2020-01-12,0
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,1
2020-01-21,7
2020-01-22,8
2020-01-23,10
2020-01-24,16
2020-01-25,18
2020-01-26,24
2020-01-27,30
2020-01-28,33
2020-01-29,32
2020-01-30,34
2020-01-31,40
2020-02-01,31
2020-02-02,30
2020-02-03,33
2020-02-04,38
2020-02-05,38
2020-02-06,37
2020-02-07,34
2020-02-08,24
2020-02-09,23
2020-02-10,26
2020-02-11,27
2020-02-12,29
2020-02-13,29
2020-02-14,23
2020-02-15,17
2020-02-16,17
2020-02-17,20
2020-02-18,23
2020-02-19,21
2020-02-20,22
2020-02-21,21
2020-02-22,23
2020-02-23,27
2020-02-24,46
2020-02-25,61
2020-02-26,87
2020-02-27,100
